topNumberedFeatures,class label,precision,recall,f1-score,accuracy,class label,precision,recall,f1-score,accuracy
345,0.0,0.9911838790931989,0.9527845036319612,0.9716049382716049,0.954477981197427,1.0,0.8198614318706697,0.962059620596206,0.8852867830423939,0.954477981197427,
350,0.0,0.990506329113924,0.9473365617433414,0.9684405940594059,0.9495299356754082,1.0,0.8027210884353742,0.959349593495935,0.8740740740740741,0.9495299356754082,
355,0.0,0.9874055415617129,0.9491525423728814,0.9679012345679013,0.9485403265710044,1.0,0.8060046189376443,0.94579945799458,0.8703241895261845,0.9485403265710044,
360,0.0,0.9873417721518988,0.9443099273607748,0.9653465346534654,0.9445818901533894,1.0,0.7913832199546486,0.94579945799458,0.8617283950617284,0.9445818901533894,
365,0.0,0.9880352644836272,0.9497578692493946,0.9685185185185184,0.9495299356754082,1.0,0.8083140877598153,0.948509485094851,0.8728179551122195,0.9495299356754082,
370,0.0,0.9880277252678009,0.9491525423728814,0.968200061747453,0.9490351311232064,1.0,0.8064516129032258,0.948509485094851,0.8717310087173101,0.9490351311232064,
375,0.0,0.9898670044331855,0.9461259079903148,0.9675023212627669,0.9480455220188025,1.0,0.7986425339366516,0.9566395663956639,0.8705302096177558,0.9480455220188025,
380,0.0,0.989192625556262,0.9418886198547215,0.9649612403100776,0.9440870856011875,1.0,0.7857142857142857,0.9539295392953929,0.8616891064871481,0.9440870856011875,
385,0.0,0.9898670044331855,0.9461259079903148,0.9675023212627669,0.9480455220188025,1.0,0.7986425339366516,0.9566395663956639,0.8705302096177558,0.9480455220188025,
390,0.0,0.9880050505050505,0.9473365617433414,0.9672435105067986,0.9475507174666007,1.0,0.8009153318077803,0.948509485094851,0.8684863523573201,0.9475507174666007,
395,0.0,0.9867924528301887,0.9497578692493946,0.9679210363972857,0.9485403265710044,1.0,0.8074245939675174,0.943089430894309,0.87,0.9485403265710044,
400,0.0,0.9853128991060025,0.9340193704600485,0.9589807333747669,0.9346857991093518,1.0,0.7604395604395604,0.9376693766937669,0.8398058252427185,0.9346857991093518,
405,0.0,0.984197218710493,0.9424939467312349,0.9628942486085343,0.9406234537357744,1.0,0.7835990888382688,0.9322493224932249,0.8514851485148515,0.9406234537357744,
410,0.0,0.983596214511041,0.9437046004842615,0.9632375656472042,0.9411182582879762,1.0,0.786697247706422,0.9295392953929539,0.8521739130434781,0.9411182582879762,
415,0.0,0.9867591424968474,0.9473365617433414,0.9666460778258184,0.946561108362197,1.0,0.8,0.943089430894309,0.8656716417910448,0.946561108362197,
420,0.0,0.9816455696202532,0.9388619854721549,0.9597772277227722,0.9356754082137556,1.0,0.7709750566893424,0.9214092140921409,0.8395061728395061,0.9356754082137556,
425,0.0,0.9849056603773585,0.9479418886198547,0.9660703269586676,0.9455714992577932,1.0,0.8004640371229699,0.9349593495934959,0.8625,0.9455714992577932,
430,0.0,0.9834394904458599,0.9346246973365617,0.9584109248913718,0.9336961900049481,1.0,0.7605321507760532,0.9295392953929539,0.8365853658536584,0.9336961900049481,
435,0.0,0.9823008849557522,0.940677966101695,0.961038961038961,0.9376546264225631,1.0,0.7767653758542141,0.924119241192412,0.844059405940594,0.9376546264225631,
440,0.0,0.9841872232764073,0.9418886198547215,0.962573461181565,0.9401286491835725,1.0,0.7818181818181819,0.9322493224932249,0.8504326328800988,0.9401286491835725,
445,0.0,0.9814356435643564,0.9600484261501211,0.9706242350061199,0.9524987629886195,1.0,0.837037037037037,0.9186991869918699,0.875968992248062,0.9524987629886195,
450,0.0,0.9818181818181818,0.9479418886198547,0.9645826917154295,0.9430974764967838,1.0,0.7981220657276995,0.9214092140921409,0.8553459119496855,0.9430974764967838,
455,0.0,0.9800249687890137,0.950363196125908,0.9649661954517517,0.9435922810489856,1.0,0.8042959427207638,0.9132791327913279,0.8553299492385787,0.9435922810489856,
460,0.0,0.980649188514357,0.9509685230024213,0.965580823601721,0.9445818901533894,1.0,0.8066825775656324,0.9159891598915989,0.8578680203045684,0.9445818901533894,
465,0.0,0.9801488833746899,0.9564164648910412,0.9681372549019608,0.9485403265710044,1.0,0.823960880195599,0.9132791327913279,0.8663239074550128,0.9485403265710044,
470,0.0,0.9715873996294009,0.9521791767554479,0.9617853867318863,0.938149430974765,1.0,0.8034825870646766,0.8753387533875339,0.8378728923476004,0.938149430974765,
475,0.0,0.9799498746867168,0.9467312348668281,0.9630541871921183,0.9406234537357744,1.0,0.7929411764705883,0.9132791327913279,0.8488664987405542,0.9406234537357744,
480,0.0,0.9799874921826142,0.948547215496368,0.9640110735158413,0.9421078673923801,1.0,0.7985781990521327,0.9132791327913279,0.852085967130215,0.9421078673923801,
485,0.0,0.9779735682819384,0.940677966101695,0.958963282937365,0.9341909945571499,1.0,0.7731481481481481,0.9051490514905149,0.8339575530586766,0.9341909945571499,
490,0.0,0.9774153074027604,0.9430992736077481,0.959950708564387,0.9356754082137556,1.0,0.7798594847775175,0.9024390243902439,0.8366834170854272,0.9356754082137556,
495,0.0,0.9767295597484277,0.9400726392251816,0.9580505860579889,0.9327065809005443,1.0,0.7703016241299304,0.8997289972899729,0.8300000000000002,0.9327065809005443,
500,0.0,0.9747474747474747,0.9346246973365617,0.9542645241038319,0.9267689262741218,1.0,0.7528604118993135,0.8915989159891599,0.8163771712158808,0.9267689262741218,
505,0.0,0.9724483406386976,0.9400726392251816,0.9559864573714989,0.9292429490351312,1.0,0.7665094339622641,0.8807588075880759,0.8196721311475409,0.9292429490351312,
510,0.0,0.9798615481434865,0.9424939467312349,0.9608145634063562,0.9371598218703612,1.0,0.7800925925925926,0.9132791327913279,0.8414481897627965,0.9371598218703612,
515,0.0,0.9767879548306148,0.9424939467312349,0.9593345656192237,0.9346857991093518,1.0,0.7775175644028103,0.8997289972899729,0.8341708542713567,0.9346857991093518,
520,0.0,0.9779458097038437,0.9394673123486683,0.9583204692806423,0.9332013854527461,1.0,0.7695852534562212,0.9051490514905149,0.8318804483188045,0.9332013854527461,
525,0.0,0.9754716981132076,0.9388619854721549,0.9568167797655768,0.9307273626917367,1.0,0.765661252900232,0.8943089430894309,0.825,0.9307273626917367,
530,0.0,0.9735849056603774,0.937046004842615,0.9549660703269587,0.9277585353785255,1.0,0.7587006960556845,0.8861788617886179,0.8175000000000001,0.9277585353785255,
535,0.0,0.9680050188205772,0.9340193704600485,0.9507085643869378,0.9208312716476992,1.0,0.7447306791569087,0.8617886178861789,0.798994974874372,0.9208312716476992,
540,0.0,0.9738805970149254,0.9479418886198547,0.9607361963190184,0.9366650173181593,1.0,0.7917675544794189,0.8861788617886179,0.8363171355498721,0.9366650173181593,
545,0.0,0.9744707347447074,0.9473365617433414,0.9607120933087784,0.9366650173181593,1.0,0.7903614457831325,0.8888888888888888,0.836734693877551,0.9366650173181593,
550,0.0,0.9726027397260274,0.9455205811138014,0.9588704726826273,0.9336961900049481,1.0,0.7831325301204819,0.8807588075880759,0.8290816326530611,0.9336961900049481,
555,0.0,0.9726027397260274,0.9455205811138014,0.9588704726826273,0.9336961900049481,1.0,0.7831325301204819,0.8807588075880759,0.8290816326530611,0.9336961900049481,
560,0.0,0.973208722741433,0.9455205811138014,0.9591648756524409,0.9341909945571499,1.0,0.7836538461538461,0.8834688346883469,0.8305732484076433,0.9341909945571499,
565,0.0,0.9725171767645222,0.9424939467312349,0.9572702121118968,0.9312221672439387,1.0,0.7738095238095238,0.8807588075880759,0.82382762991128,0.9312221672439387,
570,0.0,0.9701678060907396,0.9449152542372882,0.9573750383318,0.9312221672439387,1.0,0.779126213592233,0.8699186991869918,0.8220230473751601,0.9312221672439387,
575,0.0,0.9750467872738615,0.9461259079903148,0.96036866359447,0.9361702127659575,1.0,0.7870813397129187,0.8915989159891599,0.8360864040660737,0.9361702127659575,
580,0.0,0.9739454094292804,0.950363196125908,0.9620098039215685,0.9386442355269669,1.0,0.7995110024449877,0.8861788617886179,0.840616966580977,0.9386442355269669,
585,0.0,0.9744548286604361,0.9467312348668281,0.9603929996929689,0.9361702127659575,1.0,0.7884615384615384,0.8888888888888888,0.8356687898089172,0.9361702127659575,
590,0.0,0.9739615623062616,0.9509685230024213,0.9623277182235834,0.9391390400791687,1.0,0.8014705882352942,0.8861788617886179,0.8416988416988418,0.9391390400791687,
595,0.0,0.972239358420728,0.9539951573849879,0.963030858539566,0.9401286491835725,1.0,0.81,0.8780487804878049,0.8426527958387517,0.9401286491835725,
600,0.0,0.9745815251084935,0.9515738498789347,0.9629402756508423,0.9401286491835725,1.0,0.803921568627451,0.8888888888888888,0.8442728442728442,0.9401286491835725,
605,0.0,0.9727047146401985,0.9491525423728814,0.9607843137254902,0.9366650173181593,1.0,0.7946210268948656,0.8807588075880759,0.8354755784061697,0.9366650173181593,
610,0.0,0.975093399750934,0.9479418886198547,0.9613259668508288,0.9376546264225631,1.0,0.7927710843373494,0.8915989159891599,0.8392857142857142,0.9376546264225631,
615,0.0,0.9720149253731343,0.9461259079903148,0.9588957055214724,0.9336961900049481,1.0,0.784503631961259,0.8780487804878049,0.8286445012787722,0.9336961900049481,
620,0.0,0.974502487562189,0.948547215496368,0.9613496932515337,0.9376546264225631,1.0,0.7941888619854721,0.8888888888888888,0.8388746803069054,0.9376546264225631,
625,0.0,0.9726538222498446,0.9473365617433414,0.9598282735357252,0.9351806036615536,1.0,0.7888349514563107,0.8807588075880759,0.8322663252240717,0.9351806036615536,
630,0.0,0.9739292364990689,0.9497578692493946,0.961691694759424,0.938149430974765,1.0,0.7975609756097561,0.8861788617886179,0.8395378690629012,0.938149430974765,
635,0.0,0.9714993804213135,0.9491525423728814,0.9601959583588487,0.9356754082137556,1.0,0.7936117936117936,0.8753387533875339,0.8324742268041238,0.9356754082137556,
640,0.0,0.9745499689633768,0.950363196125908,0.9623046276432731,0.9391390400791687,1.0,0.8,0.8888888888888888,0.8421052631578948,0.9391390400791687,
645,0.0,0.9709158415841584,0.9497578692493946,0.9602203182374541,0.9356754082137556,1.0,0.7950617283950617,0.8726287262872628,0.8320413436692506,0.9356754082137556,
650,0.0,0.9702970297029703,0.9491525423728814,0.9596083231334149,0.9346857991093518,1.0,0.7925925925925926,0.8699186991869918,0.8294573643410853,0.9346857991093518,
655,0.0,0.966501240694789,0.9430992736077481,0.954656862745098,0.9267689262741218,1.0,0.7701711491442543,0.8536585365853658,0.8097686375321337,0.9267689262741218,
660,0.0,0.9686126804770873,0.9340193704600485,0.9510015408320494,0.921326076199901,1.0,0.7453271028037384,0.8644986449864499,0.8005018820577166,0.921326076199901,
665,0.0,0.9619700748129676,0.9340193704600485,0.9477886977886979,0.9158832261256804,1.0,0.7386091127098321,0.8346883468834688,0.7837150127226463,0.9158832261256804,
670,0.0,0.9662710805746408,0.9364406779661016,0.9511220411927451,0.921326076199901,1.0,0.75,0.8536585365853658,0.7984790874524715,0.921326076199901,
675,0.0,0.9602731222842955,0.9364406779661016,0.9482071713147411,0.9163780306778823,1.0,0.7439024390243902,0.8265582655826558,0.7830551989730423,0.9163780306778823,
680,0.0,0.9590570719602978,0.9358353510895884,0.9473039215686274,0.9148936170212766,1.0,0.7408312958435208,0.8211382113821138,0.7789203084832904,0.9148936170212766,
685,0.0,0.9616336633663366,0.940677966101695,0.9510403916768666,0.9208312716476992,1.0,0.7580246913580246,0.8319783197831978,0.79328165374677,0.9208312716476992,
690,0.0,0.9492044063647491,0.9388619854721549,0.9440048691418138,0.908955962394854,1.0,0.7390180878552972,0.7750677506775068,0.7566137566137567,0.908955962394854,
695,0.0,0.9493201483312732,0.9297820823244553,0.9394495412844037,0.9020286986640277,1.0,0.7121588089330024,0.7777777777777778,0.7435233160621763,0.9020286986640277,
700,0.0,0.9542362399505256,0.9340193704600485,0.9440195778525543,0.909450766947056,1.0,0.7301980198019802,0.7994579945799458,0.7632600258732213,0.909450766947056,
705,0.0,0.9527607361963191,0.9400726392251816,0.9463741620962828,0.912914398812469,1.0,0.7468030690537084,0.7913279132791328,0.7684210526315789,0.912914398812469,
710,0.0,0.9524984577421345,0.9346246973365617,0.9434769324778491,0.9084611578426521,1.0,0.73,0.7913279132791328,0.7594278283485046,0.9084611578426521,
715,0.0,0.9486552567237164,0.9394673123486683,0.9440389294403893,0.908955962394854,1.0,0.7402597402597403,0.7723577235772358,0.7559681697612731,0.908955962394854,
720,0.0,0.955955334987593,0.9328087167070218,0.9442401960784313,0.9099455714992578,1.0,0.7286063569682152,0.8075880758807588,0.7660668380462724,0.9099455714992578,
725,0.0,0.9575795383655645,0.9291767554479419,0.9431643625192011,0.9084611578426521,1.0,0.7200956937799043,0.8157181571815718,0.7649301143583228,0.9084611578426521,
730,0.0,0.9531731361675909,0.9364406779661016,0.9447328244274809,0.9104403760514597,1.0,0.7361809045226131,0.7940379403794038,0.7640156453715775,0.9104403760514597,
