Index,Confidence,Triple disease,Frequency (arms#),Target,type
138,0.736111111,[Respiratory_failure  Myocardial_infarction  Gastroenteritis],288,[Death],undirected
139,0.736111111,[Chronic_obstructive_pulmonary_disease  Bronchitis  Sepsis],288,[Death],undirected
140,0.735973597,[Cardiac_failure  Angina_pectoris  Cerebrovascular_accident],303,[Death],undirected
141,0.735785953,[Gastrointestinal_haemorrhage  Renal_failure  Cellulitis],299,[Death],undirected
142,0.73559322,[Cardiac_failure  Deep_vein_thrombosis  Dyspnoea],295,[Death],undirected
143,0.735395189,[Fall  Gastroenteritis  Sepsis],291,[Death],undirected
144,0.735395189,[Cardiac_failure  Cellulitis  Syncope],291,[Death],undirected
145,0.735395189,[Gastrointestinal_haemorrhage  Bronchitis  Dehydration],291,[Death],undirected
146,0.735202492,[Cardiac_failure  Renal_failure_acute  Myocardial_infarction],321,[Death],undirected
147,0.735202492,[Cardiac_failure  Syncope  Sepsis],321,[Death],undirected
148,0.735202492,[Bronchitis  Hypertension  Sepsis],321,[Death],undirected
149,0.735191638,[Respiratory_failure  Bronchitis  Myocardial_infarction],287,[Death],undirected
150,0.735191638,[Cardiac_failure  Diarrhoea  Dehydration],287,[Death],undirected
,0.734693878,[Acute_myocardial_infarction  Respiratory_failure  Sepsis],294,[Death],undirected
,0.734693878,[Cardiac_failure  Back_pain  Anaemia],294,[Death],undirected
,0.734693878,[Cardiac_failure  Renal_failure  Urinary_tract_infection],294,[Death],undirected
,0.734482759,[Gastrointestinal_haemorrhage  Angina_pectoris  Cerebrovascular_accident],290,[Death],undirected
,0.734482759,[Acute_myocardial_infarction  Renal_failure  Sepsis],290,[Death],undirected
,0.73442623,[Cardiac_arrest  Gastrointestinal_haemorrhage  Sepsis],305,[Death],undirected
,0.734138973,[Gastrointestinal_haemorrhage  Cerebrovascular_accident  Syncope],331,[Death],undirected
,0.734006734,[Acute_myocardial_infarction  Respiratory_failure  Anaemia],297,[Death],undirected
,0.734006734,[Cardiac_failure  Gastrointestinal_haemorrhage  Dyspnoea],297,[Death],undirected
,0.733974359,[Cardiac_failure  Pulmonary_embolism  Urinary_tract_infection],312,[Death],undirected
,0.733788396,[Gastrointestinal_haemorrhage  Renal_failure  Myocardial_infarction],293,[Death],undirected
,0.733788396,[Respiratory_failure  Chronic_obstructive_pulmonary_disease  Pulmonary_embolism],293,[Death],undirected
,0.733788396,[Acute_myocardial_infarction  Renal_failure  Renal_failure_acute],293,[Death],undirected
,0.733766234,[Respiratory_failure  Back_pain  Atrial_fibrillation],308,[Death],undirected
,0.73374613,[Back_pain  Cerebrovascular_accident  Syncope],323,[Death],undirected
,0.733711048,[Gastrointestinal_haemorrhage  Cerebrovascular_accident  Dyspnoea],353,[Death],undirected
,0.733564014,[Cardiac_arrest  Cerebrovascular_accident  Chest_pain],289,[Death],undirected
,0.733333333,[Respiratory_failure  Renal_failure  Syncope],315,[Death],undirected
,0.733333333,[Cholecystitis  Gastroenteritis  Sepsis],315,[Death],undirected
,0.733108108,[Back_pain  Bronchitis  Pulmonary_embolism],296,[Death],undirected
,0.732899023,[Cardiac_arrest  Cellulitis  Sepsis],307,[Death],undirected
,0.732876712,[Respiratory_failure  Pleural_effusion  Cerebrovascular_accident],292,[Death],undirected
,0.732876712,[Cardiac_failure  Angina_pectoris  Chest_pain],292,[Death],undirected
,0.732522796,[Back_pain  Cerebrovascular_accident  Sepsis],329,[Death],undirected
,0.732484076,[Cardiac_arrest  Cerebrovascular_accident  Sepsis],314,[Death],undirected
,0.73220339,[Haematuria  Dyspnoea  Syncope],295,[Death],undirected
,0.731958763,[Bronchitis  Hypertension  Diarrhoea],291,[Death],undirected
,0.731707317,[Cardiac_arrest  Myocardial_infarction  Sepsis],328,[Death],undirected
,0.731707317,[Renal_failure  Chronic_obstructive_pulmonary_disease  Atrial_fibrillation],287,[Death],undirected
,0.731707317,[Transient_ischaemic_attack  Gastrointestinal_haemorrhage  Myocardial_infarction],287,[Death],undirected
,0.731629393,[Pleural_effusion  Bronchitis  Atrial_fibrillation],313,[Death],undirected
,0.731292517,[Gastrointestinal_haemorrhage  Respiratory_failure  Cerebrovascular_accident],294,[Death],undirected
,0.73125,[Gastrointestinal_haemorrhage  Respiratory_failure  Pulmonary_embolism],320,[Death],undirected
,0.731147541,[Gastrointestinal_haemorrhage  Acute_myocardial_infarction  Anaemia],305,[Death],undirected
,0.731147541,[Cardiac_failure  Renal_failure_acute  Dehydration],305,[Death],undirected
,0.731034483,[Cardiac_failure  Pleural_effusion  Pulmonary_embolism],290,[Death],undirected
,0.731034483,[Gastrointestinal_haemorrhage  Chronic_obstructive_pulmonary_disease  Dyspnoea],290,[Death],undirected
,0.731034483,[Cardiac_failure  Renal_failure_acute  Cellulitis],290,[Death],undirected
,0.73089701,[Transient_ischaemic_attack  Pulmonary_embolism  Sepsis],301,[Death],undirected
,0.730639731,[Pleural_effusion  Gastroenteritis  Atrial_fibrillation],297,[Death],undirected
,0.730519481,[Cardiac_arrest  Back_pain  Pneumonia],308,[Death],undirected
,0.730263158,[Gastrointestinal_haemorrhage  Bronchitis  Sepsis],304,[Death],undirected
,0.730263158,[Cardiac_arrest  Hypotension  Dyspnoea],304,[Death],undirected
,0.730103806,[Respiratory_failure  Back_pain  Pleural_effusion],289,[Death],undirected
,0.730103806,[Respiratory_failure  Cerebrovascular_accident  Diarrhoea],289,[Death],undirected
,0.73006135,[Gastrointestinal_haemorrhage  Renal_failure  Pulmonary_embolism],326,[Death],undirected
,0.73,[Cardiac_arrest  Renal_failure  Atrial_fibrillation],300,[Death],undirected
,0.729885057,[Cardiac_failure  Atrial_fibrillation  Syncope],348,[Death],undirected
,0.729813665,[Respiratory_failure  Bronchitis  Sepsis],322,[Death],undirected
,0.72972973,[Cardiac_arrest  Pleural_effusion  Dyspnoea],296,[Death],undirected
,0.729452055,[Cardiac_failure  Urinary_tract_infection  Gastroenteritis],292,[Death],undirected
,0.729372937,[Asthenia  Hypertension  Sepsis],303,[Death],undirected
,0.729299363,[Renal_failure  Back_pain  Pulmonary_embolism],314,[Death],undirected
,0.729166667,[Depression  Dyspnoea  Sepsis],288,[Death],undirected
,0.729166667,[Cardiac_failure  Cellulitis  Pyrexia],288,[Death],undirected
,0.72909699,[Cardiac_arrest  Acute_myocardial_infarction  Myocardial_infarction],299,[Death],undirected
,0.72909699,[Gastrointestinal_haemorrhage  Cardiac_failure_congestive  Pulmonary_embolism],299,[Death],undirected
,0.72909699,[Back_pain  Cerebrovascular_accident  Diarrhoea],299,[Death],undirected
,0.729032258,[Gastrointestinal_haemorrhage  Respiratory_failure  Syncope],310,[Death],undirected
,0.728915663,[Cardiac_failure  Pulmonary_embolism  Sepsis],332,[Death],undirected
,0.728915663,[Cardiac_failure  Pulmonary_embolism  Myocardial_infarction],332,[Death],undirected
,0.728813559,[Renal_failure  Gastroenteritis  Atrial_fibrillation],295,[Death],undirected
,0.72875817,[Cardiac_failure  Pulmonary_embolism  Dehydration],306,[Death],undirected
,0.728706625,[Pleural_effusion  Cerebrovascular_accident  Syncope],317,[Death],undirected
,0.728706625,[Cardiac_arrest  Respiratory_failure  Anaemia],317,[Death],undirected
,0.728706625,[Respiratory_failure  Pleural_effusion  Syncope],317,[Death],undirected
,0.728522337,[Cardiac_failure  Gastroenteritis  Sepsis],291,[Death],undirected
,0.728476821,[Septic_shock  Syncope  Sepsis],302,[Death],undirected
,0.728476821,[Gastrointestinal_haemorrhage  Back_pain  Urinary_tract_infection],302,[Death],undirected
,0.728476821,[Cardiac_arrest  Chest_pain  Sepsis],302,[Death],undirected
,0.728395062,[Renal_failure  Cerebrovascular_accident  Urinary_tract_infection],324,[Death],undirected
,0.728358209,[Cardiac_failure  Dyspnoea  Syncope],335,[Death],undirected
,0.727891156,[Dizziness  Gastroenteritis  Dyspnoea],294,[Death],undirected
,0.727891156,[Cardiac_failure  Cardiac_failure_congestive  Dyspnoea],294,[Death],undirected
,0.727868852,[Renal_failure  Urinary_tract_infection  Gastroenteritis],305,[Death],undirected
,0.727848101,[Cerebrovascular_accident  Bronchitis  Pulmonary_embolism],316,[Death],undirected
,0.727586207,[Cardiac_failure  Cardiac_failure_congestive  Anaemia],290,[Death],undirected
,0.72755418,[Cardiac_failure  Urinary_tract_infection  Syncope],323,[Death],undirected
,0.727536232,[Cardiac_failure  Pulmonary_embolism  Atrial_fibrillation],345,[Death],undirected
,0.727272727,[Cholecystitis  Bronchitis  Sepsis],297,[Death],undirected
,0.727272727,[Septic_shock  Respiratory_failure  Urinary_tract_infection],297,[Death],undirected
,0.727272727,[Bronchopneumonia  Syncope  Pneumonia],297,[Death],undirected
,0.727272727,[Pleural_effusion  Gastroenteritis  Syncope],297,[Death],undirected
,0.726993865,[Cardiac_failure  Atrial_fibrillation  Pyrexia],326,[Death],undirected
,0.726984127,[Pleural_effusion  Bronchitis  Pulmonary_embolism],315,[Death],undirected
,0.726973684,[Cardiac_arrest  Urinary_tract_infection  Syncope],304,[Death],undirected
,0.726973684,[Constipation  Gastroenteritis  Sepsis],304,[Death],undirected
,0.726973684,[Acute_myocardial_infarction  Cerebrovascular_accident  Sepsis],304,[Death],undirected
,0.726962457,[Cholecystitis  Bronchitis  Anaemia],293,[Death],undirected
,0.726962457,[Cardiac_failure  Diarrhoea  Urinary_tract_infection],293,[Death],undirected
,0.726726727,[Cardiac_failure  Myocardial_infarction  Syncope],333,[Death],undirected
,0.726708075,[Cardiac_failure  Chest_pain  Syncope],322,[Death],undirected
,0.726688103,[Cardiac_arrest  Pulmonary_embolism  Syncope],311,[Death],undirected
,0.726666667,[Renal_failure  Hypertension  Syncope],300,[Death],undirected
,0.726643599,[Cardiac_failure  Coronary_artery_disease  Atrial_fibrillation],289,[Death],undirected
,0.726643599,[Transient_ischaemic_attack  Renal_failure_acute  Pulmonary_embolism],289,[Death],undirected
,0.726415094,[Pleural_effusion  Bronchitis  Sepsis],318,[Death],undirected
,0.726351351,[Acute_myocardial_infarction  Pulmonary_embolism  Dehydration],296,[Death],undirected
,0.726351351,[Respiratory_failure  Chronic_obstructive_pulmonary_disease  Sepsis],296,[Death],undirected
,0.726190476,[Gastrointestinal_haemorrhage  Cerebrovascular_accident  Pulmonary_embolism],336,[Death],undirected
,0.726153846,[Cardiac_arrest  Syncope  Anaemia],325,[Death],undirected
,0.72611465,[Cardiac_failure  Respiratory_failure  Atrial_fibrillation],314,[Death],undirected
,0.726027397,[Convulsion  Atrial_fibrillation  Anaemia],292,[Death],undirected
,0.726027397,[Fall  Gastroenteritis  Syncope],292,[Death],undirected
,0.726027397,[Gastrointestinal_haemorrhage  Bronchitis  Syncope],292,[Death],undirected
,0.726027397,[Dizziness  Respiratory_failure  Pneumonia],292,[Death],undirected
,0.725752508,[Cardiac_arrest  Cerebrovascular_accident  Pulmonary_embolism],299,[Death],undirected
,0.72555205,[Gastrointestinal_haemorrhage  Renal_failure  Syncope],317,[Death],undirected
,0.725239617,[Back_pain  Gastroenteritis  Atrial_fibrillation],313,[Death],undirected
,0.725165563,[Transient_ischaemic_attack  Cerebrovascular_accident  Sepsis],302,[Death],undirected
,0.725085911,[Dizziness  Gastroenteritis  Anaemia],291,[Death],undirected
,0.724832215,[Cardiac_arrest  Renal_failure  Renal_failure_acute],298,[Death],undirected
,0.724832215,[Gastrointestinal_haemorrhage  Pleural_effusion  Syncope],298,[Death],undirected
,0.724770642,[Pleural_effusion  Cerebrovascular_accident  Urinary_tract_infection],327,[Death],undirected
,0.724590164,[Gastrointestinal_haemorrhage  Pulmonary_embolism  Gastroenteritis],305,[Death],undirected
,0.724489796,[Septic_shock  Cardiac_failure  Pneumonia],294,[Death],undirected
,0.724358974,[Back_pain  Gastroenteritis  Syncope],312,[Death],undirected
,0.724252492,[Cardiac_arrest  Gastrointestinal_haemorrhage  Dyspnoea],301,[Death],undirected
,0.724242424,[Gastrointestinal_haemorrhage  Cerebrovascular_accident  Dehydration],330,[Death],undirected
,0.724025974,[Renal_failure  Cerebrovascular_accident  Chest_pain],308,[Death],undirected
,0.724025974,[Pleural_effusion  Cerebrovascular_accident  Diarrhoea],308,[Death],undirected
,0.72392638,[Cerebrovascular_accident  Bronchitis  Sepsis],326,[Death],undirected
,0.723684211,[Renal_failure  Cerebrovascular_accident  Diarrhoea],304,[Death],undirected
,0.723602484,[Cardiac_arrest  Cardiac_failure  Pneumonia],322,[Death],undirected
,0.723549488,[Renal_failure  Gastroenteritis  Cellulitis],293,[Death],undirected
,0.723333333,[Acute_myocardial_infarction  Renal_failure  Anaemia],300,[Death],undirected
,0.723333333,[Cardiac_arrest  Pleural_effusion  Sepsis],300,[Death],undirected
,0.723127036,[Respiratory_failure  Gastroenteritis  Syncope],307,[Death],undirected
,0.723076923,[Cardiac_failure  Chest_pain  Dyspnoea],325,[Death],undirected
,0.722772277,[Cardiac_arrest  Chest_pain  Syncope],303,[Death],undirected
,0.722772277,[Cardiac_arrest  Hypotension  Anaemia],303,[Death],undirected
,0.722741433,[Transient_ischaemic_attack  Cardiac_failure  Pneumonia],321,[Death],undirected
,0.722741433,[Renal_failure  Back_pain  Syncope],321,[Death],undirected
,0.72260274,[Haemoptysis  Sepsis  Pyrexia],292,[Death],undirected
,0.72260274,[Cardiac_arrest  Respiratory_failure  Pyrexia],292,[Death],undirected
,0.722580645,[Respiratory_failure  Bronchitis  Syncope],310,[Death],undirected
,0.722408027,[Cardiac_arrest  Gastroenteritis  Sepsis],299,[Death],undirected
,0.722408027,[Acute_myocardial_infarction  Chest_pain  Sepsis],299,[Death],undirected
,0.722397476,[Cardiac_failure  Renal_failure  Dyspnoea],317,[Death],undirected
,0.72238806,[Respiratory_failure  Cerebrovascular_accident  Syncope],335,[Death],undirected
,0.722222222,[Back_pain  Bronchitis  Sepsis],306,[Death],undirected
,0.722222222,[Gastrointestinal_haemorrhage  Urinary_tract_infection  Gastroenteritis],306,[Death],undirected
,0.722044728,[Acute_myocardial_infarction  Renal_failure_acute  Pulmonary_embolism],313,[Death],undirected
,0.722033898,[Cardiac_failure  Pleural_effusion  Sepsis],295,[Death],undirected
,0.722033898,[Pleural_effusion  Bronchitis  Syncope],295,[Death],undirected
,0.721854305,[Septic_shock  Deep_vein_thrombosis  Anaemia],302,[Death],undirected
,0.721854305,[Cardiac_arrest  Renal_failure  Anaemia],302,[Death],undirected
,0.721682848,[Cardiac_failure  Renal_failure  Atrial_fibrillation],309,[Death],undirected
,0.721682848,[Back_pain  Cerebrovascular_accident  Renal_failure_acute],309,[Death],undirected
,0.721682848,[Septic_shock  Respiratory_failure  Pulmonary_embolism],309,[Death],undirected
,0.721682848,[Pleural_effusion  Cerebrovascular_accident  Chest_pain],309,[Death],undirected
,0.721649485,[Renal_failure  Pleural_effusion  Cerebrovascular_accident],291,[Death],undirected
,0.721649485,[Hypokalaemia  Dyspnoea  Syncope],291,[Death],undirected
